Squadra;Categoria;"#31 (text)";"#32 (text)";"#33 (text)";"#34 (text)";"#35 (text)";"#36 (text)";"#37 (text)";"#38 (text)";"#39 (text)";"#40 (text)";"#41 (text)";"#42 (text)";"#43 (text)";"#44 (text)";"#45 (text)";"#46 (text)";"#47 (text)";"#48 (text)";"#49 (text)";"#50 (text)";"#51 (text)";"#52 (text)";"#53 (text)";"#54 (text)";"#55 (text)";"#56 (text)";"#57 (text)";"#58 (text)";"#59 (text)";"#60 (text)";"#61 (text)";"#62 (text)";"#63 (text)";"#64 (text)";"#65 (text)";"#66 (text)";"#67 (text)";"#68 (text)";"#69 (text)";"#70 (text)";"#71 (text)";"#72 (text)";"#73 (text)";"#74 (text)";"#75 (text)";"#76 (text)";"#77 (text)";"#78 (text)";"#79 (text)";"#80 (text)";"#81 (text)";"#82 (text)";"#83 (text)";"#84 (text)";"#85 (text)";"ULTIMO ORARIO ESATTO";"TOTALE"
"I Lego di Danor";"Ludica";"-";"6";"-";"18";"-";"Eparchia";"Piacenza e vigevano";"Ossa";"2";"818";"2";"2";"-";"Grande";"Giglio";"-";"-";"-";"-";"-";"-";"-";"3";"Canonico";"Indomita";"Valentino";"-";"3";"7";"10";"Mcml";"Sinistra";"2";"3";"31";"Regvl";"-";"Verde";"Solve";"-";"Frons";"-";"Poveri";"Pacis";"-";"Nero";"2";"2";"1";"5";"1998";"-";"Wally";"Unica";"4";"17:56:42";"37"
"Ponte girls 2";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"Lellichelli";"Ludica";"Mille";"Sei";"-";"-";"-";"-";"Piacenza e vigevano";"Le ossa";"Due";"818";"Due";"Due";"Tre";"Grande";"Giglio";"Pacifico";"Uno";"Quattro";"Quattro";"La mamma";"Due";"1954";"Tre";"Canonico";"Indomita";"-";"Due";"Tre";"-";"Dieci";"-";"-";"Due";"Tre";"-";"Regul";"Cinque";"-";"Solve";"Ada";"Frons";"Dom";"Poveri";"Della pace";"Livellazione";"Nero";"-";"-";"Una";"Cinque";"1998";"Domus";"Iseo";"-";"-";"17:50:59";"17"
"Bobo e Paola";"Ludica";"Fuert";"2";"5";"15";"3";"Pax";"Do piacenza ";"Mani";"3";"818";"5";"3";"3";"Il grande";"Giglio ";"Pacifico";"1";"4";"1";"Mater";"4";"1954";"3";"-";"Indomita ";"-";"-";"2";"3";"4";"-";"-";"2";"3";"-";"Regvl";"-";"-";"Solve";"Ada";"Frons ";"-";"-";"Della pace";"-";" Nero";"-";"-";"-";"5";"-";"-";"-";"-";"2";"17:24:14";"17"
"I nani";"Ludica";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"0"
"I Susini";"Ludica";"Mille";"6";"4";"8";"2";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"2";"2";"3";"Grande";"Giglio con corona";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"7";"10";"Mcml";"Alla nostra sinistra";"2";"3";"31";"Regvl";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione";"Nero";"2";"2";"1";"5";"1998";"Domvs";"Wally";"Unica";"4";"17:57:19";"50"
"Oche in fuga";"Ludica";"Mille";"6";"3";"18";"Due";"Eparchia";"Piacenza e Vigevano";"Ossa";"2";"818";"4";"2";"3";"Grande";"Giglio";"Pacifico";"1";"4";"4";"Mamma";"2";"1954";"3";"Canonico";"Indomita";"Valentino";"2";"3";"7";"10";"MCML";"Sinistra";"2";"3";"31";"Regvl";"5";"Verde";"Solve";"Ada";"Frons";"Dom";"Poveri";"Pacis";"Livellazione";"Nero";"2";"2";"1";"5";"1998";"Domus";"Wally";"Unica";"4";"17:35:41";"51"
"Anolini Forever";"Ludica";"Mille";"6";"3";"18";"2";"Eparchia ";"Piacenza e Vigevano ";"Ossa";"2";"818";"2";"2";"3";"IL GRANDE";"Giglio";"Pacifico";"1";"4";"4";"Mamma ";"2";"1954";"3";"Canonico ";"Indomita";"Valentino";"2";"3";"10";"10";"MCML";"Sinistra ";"2";"3";"31";"REGUL";"5";"Verde ";"SOLVE";"Ada";"Frons";"Dom ";"Poveri";"Pacis";"Livellazione";"Nero";"2";"2";"1";"5";"1998";"DOMVS";"Wally";"Unica";"4";"18:03:39";"53"
"Bastone";"Ludica";"MILLE";"6";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"-";"Il grande";"Giglio";"Pacifico";"1";"4";"4";"La mamma";"2";"1954";"3";"Canonico";"INDOMITA";"VALENTINO";"2";"3";"9";"10";"MCML";"SINISTRA";"2";"3";"-";"REGVL";"5";"VERDE";"Solve";"Ada";"FRONS";"Dom";"Poveri";"Pacis";"Livellazione";"NERO";"-";"2";"-";"5";"-";"-";"-";"-";"-";"18:07:55";"34"
"Le forchette vintage";"Ludica";"Mille";"2";"-";"-";"-";"-";"Piacenza e Vigevano ";"Ossa";"2";"818";"3";"2";"3";"Grande ";"Giglio";"-";"-";"-";"-";"-";"-";"-";"-";"-";"Indomita";"-";"-";"-";"-";"10";"-";"-";"2";"3";"-";"-";"-";"-";"SOLVE";"-";"FRONS";"DOM";"-";"-";"-";"-";"-";"-";"1";"-";"1940";"-";"-";"-";"-";"17:53:00";"17"
